nombre_aeropouerto,codigo_IATA,ISO_pais,ISO_region
GAFSA KSAR INTERNATIONAL,GAF,TN,TN-71
GABÈS MATMATA INTERNATIONAL,GAE,TN,TN-81
DJERBA ZARZIS INTERNATIONAL,DJE,TN,TN-82
EL BORMA,EBM,TN,TN-83
SFAX THYNA INTERNATIONAL,SFA,TN,TN-61
TOZEUR NEFTA INTERNATIONAL,TOE,TN,TN-72
ANDAVADOAKA,DVD,MG,MG-U
DWYER,DWR,AF,AF-HEL
NIAMTOUGOU INTERNATIONAL,LRL,TG,TG-K
LOMÉ–TOKOIN INTERNATIONAL,LFW,TG,TG-M
DAZHOU JINYA,DZH,CN,CN-51
ELENAK,EAL,MH,MH-KWA
ANTWERP INTERNATIONAL (DEURNE),ANR,BE,BE-VAN
BRUSSELS,BRU,BE,BE-BRU
BRUSSELS SOUTH CHARLEROI,CRL,BE,BE-WHT
WEVELGEM,KJK,BE,BE-VWV
LIÈGE,LGG,BE,BE-WLG
EBON,EBO,MH,MH-EBO
OSTEND-BRUGES INTERNATIONAL,OST,BE,BE-VWV
MÉNDEZ,MZD,EC,EC-S
ALTENBURG-NOBITZ,AOC,DE,DE-TH
HERINGSDORF,HDF,DE,DE-MV
RIESA-GÖHLIS,IES,DE,DE-SN
RECHLIN-LÄRZ,REB,DE,DE-MV
COCHSTEDT,CSO,DE,DE-ST
BARTH,BBH,DE,DE-MV
MAGDEBURG "CITY",ZMG,DE,DE-ST
NEUBRANDENBURG,FNB,DE,DE-MV
FLUGPLATZ GÜTTIN / RÜGEN,GTI,DE,DE-MV
KÖTHEN,KOQ,DE,DE-ST
PEENEMÜNDE,PEF,DE,DE-MV
BERLIN BRANDENBURG,BER,DE,DE-BR
DRESDEN,DRS,DE,DE-SN
ERFURT,ERF,DE,DE-TH
FRANKFURT AM MAIN,FRA,DE,DE-HE
MÜNSTER OSNABRÜCK,FMO,DE,DE-NW
HAMBURG HELMUT SCHMIDT,HAM,DE,DE-HH
COLOGNE BONN,CGN,DE,DE-NW
DÜSSELDORF,DUS,DE,DE-NW
MUNICH,MUC,DE,DE-BY
NUREMBERG,NUE,DE,DE-BY
LEIPZIG/HALLE,LEJ,DE,DE-SN
SAARBRÜCKEN,SCN,DE,DE-SL
STUTTGART,STR,DE,DE-BW
HANNOVER,HAJ,DE,DE-NI
BREMEN,BRE,DE,DE-HB
FRANKFURT-HAHN,HHN,DE,DE-RP
MANNHEIM-CITY,MHG,DE,DE-BW
EISENACH-KINDEL,EIB,DE,DE-TH
SIEGERLAND,SGE,DE,DE-NW
ITZEHOE/HUNGRIGER WOLF AIRFIELD,IZE,DE,DE-SH
HAMBURG-FINKENWERDER,XFW,DE,DE-HH
KIEL-HOLTENAU,KEL,DE,DE-SH
LÜBECK BLANKENSEE,LBC,DE,DE-SH
NEUMÜNSTER,EUM,DE,DE-SH
MEMMINGEN ALLGAU,FMM,DE,DE-BY
AACHEN-MERZBRÜCK,AAH,DE,DE-NW
BONN-HANGELAR,BNJ,DE,DE-NW
ESSEN MÜLHEIM,ESS,DE,DE-NW
BIELEFELD,BFE,DE,DE-NW
MÖNCHENGLADBACH,MGL,DE,DE-NW
PADERBORN LIPPSTADT,PAD,DE,DE-NW
WEEZE,NRN,DE,DE-NW
DORTMUND,DTM,DE,DE-NW
AUGSBURG,AGB,DE,DE-BY
OBERPFAFFENHOFEN,OBF,DE,DE-BY
STRAUBING,RBM,DE,DE-BY
FRIEDRICHSHAFEN,FDH,DE,DE-BW
SCHWERIN PARCHIM,SZW,DE,DE-MV
BAYREUTH,BYU,DE,DE-BY
BURG FEUERSTEIN,URD,DE,DE-BY
GIEBELSTADT,GHF,DE,DE-BY
HOF-PLAUEN,HOQ,DE,DE-BY
BITBURG,BBJ,DE,DE-RP
ZWEIBRÜCKEN,ZQW,DE,DE-RP
KARLSRUHE BADEN-BADEN,FKB,DE,DE-BW
LAHR,LHA,DE,DE-BW
BRAUNSCHWEIG-WOLFSBURG,BWE,DE,DE-NI
KASSEL-CALDEN,KSF,DE,DE-HE
EMDEN,EME,DE,DE-NI
WANGEROOGE,AGE,DE,DE-NI
WILHELMSHAVEN-MARIENSIEL,WVN,DE,DE-NI
JUIST,JUI,DE,DE-NI
LANGEOOG,LGO,DE,DE-NI
BORKUM,BMK,DE,DE-NI
NORDEN-NORDDEICH,NOD,DE,DE-NI
VARRELBUSCH,VAC,DE,DE-NI
NORDERNEY,NRD,DE,DE-NI
BALTRUM,BMR,DE,DE-NI
HEIDE-BÜSUM,HEI,DE,DE-SH
FLENSBURG-SCHÄFERHAUS,FLF,DE,DE-SH
HELGOLAND-DÜNE,HGL,DE,DE-SH
HUSUM-SCHWESING,QHU,DE,DE-SH
ST. PETER-ORDING,PSH,DE,DE-SH
WESTERLAND SYLT,GWT,DE,DE-SH
WYK AUF FÖHR,OHR,DE,DE-SH
KÄRDLA,KDL,EE,EE-39
KURESSAARE,URE,EE,EE-74
PÄRNU,EPU,EE,EE-67
BERENICE INTERNATIONAL / RAS BANAS AIR BASE,EES,EG,EG-BA
LENNART MERI TALLINN,TLL,EE,EE-37
TARTU,TAY,EE,EE-7B
ENONTEKIO,ENF,FI,FI-10
EFOGI,EFG,PG,PG-CPM
HALLI,KEV,FI,FI-08
HELSINKI VANTAA,HEL,FI,FI-18
HYVINKÄÄ AIRFIELD,HYV,FI,FI-18
KITEE,KTQ,FI,FI-13
IVALO,IVL,FI,FI-10
JOENSUU,JOE,FI,FI-13
JYVÄSKYLÄ,JYV,FI,FI-08
KAUHAVA AIRFIELD,KAU,FI,FI-03
KEMI-TORNIO,KEM,FI,FI-10
KAJAANI,KAJ,FI,FI-05
KAUHAJOKI AIRFIELD,KHJ,FI,FI-03
KOKKOLA-PIETARSAARI,KOK,FI,FI-07
KUUSAMO,KAO,FI,FI-14
KITTILÄ,KTT,FI,FI-10
KUOPIO,KUO,FI,FI-15
LAPPEENRANTA,LPP,FI,FI-02
MARIEHAMN,MHQ,FI,FI-01
MIKKELI,MIK,FI,FI-04
OULU,OUL,FI,FI-14
PORI,POR,FI,FI-17
ROVANIEMI,RVN,FI,FI-10
SAVONLINNA,SVL,FI,FI-04
SEINÄJOKI,SJY,FI,FI-03
SODANKYLA,SOT,FI,FI-10
TAMPERE-PIRKKALA,TMP,FI,FI-11
TURKU,TKU,FI,FI-19
UTTI AIR BASE,UTI,FI,FI-09
VAASA,VAA,FI,FI-12
VARKAUS,VRK,FI,FI-04
YLIVIESKA AIRFIELD,YLI,FI,FI-14
ABU RUDEIS,AUE,EG,EG-JS
BELFAST INTERNATIONAL,BFS,GB,GB-NIR
ENNISKILLEN/ST ANGELO,ENK,GB,GB-NIR
GEORGE BEST BELFAST CITY,BHD,GB,GB-NIR
CITY OF DERRY,LDY,GB,GB-NIR
BIRMINGHAM INTERNATIONAL,BHX,GB,GB-ENG
COVENTRY,CVT,GB,GB-ENG
GLOUCESTERSHIRE,GLO,GB,GB-ENG
SYWELL AERODROME,ORM,GB,GB-ENG
NOTTINGHAM,NQT,GB,GB-ENG
COTSWOLD,GBA,GB,GB-ENG
MANCHESTER,MAN,GB,GB-ENG
ROBIN HOOD DONCASTER SHEFFIELD,DSA,GB,GB-ENG
UPAVON AERODROME,UPV,GB,GB-ENG
RNAS YEOVILTON,YEO,GB,GB-ENG
CAMPBELTOWN,CAL,GB,GB-SCT
EDAY,EOI,GB,GB-SCT
FAIR ISLE,FIE,GB,GB-SCT
WHALSAY AIRSTRIP,WHS,GB,GB-SCT
COLL,COL,GB,GB-SCT
NORTH RONALDSAY,NRL,GB,GB-SCT
OBAN,OBN,GB,GB-SCT
PAPA WESTRAY,PPW,GB,GB-SCT
STRONSAY,SOY,GB,GB-SCT
SANDAY,NDY,GB,GB-SCT
LERWICK / TINGWALL,LWK,GB,GB-SCT
WESTRAY,WRY,GB,GB-SCT
COLONSAY AIRSTRIP,CSA,GB,GB-SCT
HAVERFORDWEST,HAW,GB,GB-WLS
CARDIFF INTERNATIONAL,CWL,GB,GB-WLS
SWANSEA,SWS,GB,GB-WLS
BRISTOL,BRS,GB,GB-ENG
LIVERPOOL JOHN LENNON,LPL,GB,GB-ENG
LONDON LUTON,LTN,GB,GB-ENG
LAND'S END,LEQ,GB,GB-ENG
ST. MARY'S,ISC,GB,GB-ENG
BOURNEMOUTH,BOH,GB,GB-ENG
SOUTHAMPTON,SOU,GB,GB-ENG
BEMBRIDGE,BBP,GB,GB-ENG
NEWQUAY CORNWALL,NQY,GB,GB-ENG
GOODWOOD AERODROME,QUG,GB,GB-ENG
ALDERNEY,ACI,GG,GG-U-A
GUERNSEY,GCI,GG,GG-U-A
JERSEY,JER,JE,JE-U-A
SHOREHAM,ESH,GB,GB-ENG
LONDON BIGGIN HILL,BQH,GB,GB-ENG
LONDON GATWICK,LGW,GB,GB-ENG
REDHILL AERODROME,KRH,GB,GB-ENG
LONDON CITY,LCY,GB,GB-ENG
FARNBOROUGH,FAB,GB,GB-ENG
BLACKBUSHE,BBS,GB,GB-ENG
LONDON HEATHROW,LHR,GB,GB-ENG
SOUTHEND,SEN,GB,GB-ENG
LYDD,LYX,GB,GB-ENG
CARLISLE,CAX,GB,GB-ENG
BLACKPOOL INTERNATIONAL,BLK,GB,GB-ENG
HUMBERSIDE,HUY,GB,GB-ENG
BARROW WALNEY ISLAND,BWF,GB,GB-ENG
LEEDS BRADFORD,LBA,GB,GB-ENG
WARTON AERODROME,WRT,GB,GB-ENG
HAWARDEN,CEG,GB,GB-WLS
ISLE OF MAN,IOM,IM,IM-U-A
NEWCASTLE,NCL,GB,GB-ENG
TEESSIDE INTERNATIONAL,MME,GB,GB-ENG
EAST MIDLANDS,EMA,GB,GB-ENG
ANGLESEY,VLY,GB,GB-WLS
KIRKWALL,KOI,GB,GB-SCT
SUMBURGH,LSI,GB,GB-SCT
WICK,WIC,GB,GB-SCT
ABERDEEN DYCE,ABZ,GB,GB-SCT
INVERNESS,INV,GB,GB-SCT
GLASGOW INTERNATIONAL,GLA,GB,GB-SCT
EDINBURGH,EDI,GB,GB-SCT
ISLAY,ILY,GB,GB-SCT
GLASGOW PRESTWICK,PIK,GB,GB-SCT
BENBECULA,BEB,GB,GB-SCT
SCATSTA,SCS,GB,GB-SCT
DUNDEE,DND,GB,GB-SCT
STORNOWAY,SYY,GB,GB-SCT
BARRA,BRR,GB,GB-SCT
PERTH/SCONE,PSL,GB,GB-SCT
TIREE,TRE,GB,GB-SCT
UNST,UNT,GB,GB-SCT
RAF KINLOSS,FSS,GB,GB-SCT
LEUCHARS STATION AIRFIELD,ADX,GB,GB-SCT
RAF LOSSIEMOUTH,LMO,GB,GB-SCT
CAMBRIDGE,CBG,GB,GB-ENG
NORWICH INTERNATIONAL,NWI,GB,GB-ENG
LONDON STANSTED,STN,GB,GB-ENG
WYCOMBE AIR PARK,HYC,GB,GB-ENG
EXETER INTERNATIONAL,EXT,GB,GB-ENG
OXFORD (KIDLINGTON),OXF,GB,GB-ENG
ROCHESTER,RCS,GB,GB-ENG
RAF BENSON,BEX,GB,GB-ENG
RAF LAKENHEATH,LKZ,GB,GB-ENG
RAF MILDENHALL,MHZ,GB,GB-ENG
RAF WYTON,QUY,GB,GB-ENG
RAF FAIRFORD,FFD,GB,GB-ENG
RAF BRIZE NORTON,BZZ,GB,GB-ENG
RAF ODIHAM,ODH,GB,GB-ENG
RAF NORTHOLT,NHT,GB,GB-ENG
RAF CONINGSBY,QCY,GB,GB-ENG
RAF HONINGTON,BEQ,GB,GB-ENG
RAF SCAMPTON,SQZ,GB,GB-ENG
RAF LINTON-ON-OUSE,HRT,GB,GB-ENG
RAF WADDINGTON,WTN,GB,GB-ENG
RAF MARHAM,KNF,GB,GB-ENG
MOUNT PLEASANT,MPN,FK,FK-U-A
AMSTERDAM SCHIPHOL,AMS,NL,NL-NH
MAASTRICHT AACHEN,MST,NL,NL-LI
EINDHOVEN,EIN,NL,NL-NB
EELDE,GRQ,NL,NL-DR
GILZE RIJEN AIR BASE,GLZ,NL,NL-NB
DE KOOY,DHR,NL,NL-NH
LELYSTAD,LEY,NL,NL-FL
LEEUWARDEN AIR BASE,LWR,NL,NL-FR
ROTTERDAM THE HAGUE,RTM,NL,NL-ZH
TWENTE,ENS,NL,NL-OV
WOENSDRECHT AIR BASE,WOE,NL,NL-NB
BANTRY AERODROME,BYT,IE,IE-C
BELMULLET AERODROME,BLY,IE,IE-MO
CONNEMARA REGIONAL,NNR,IE,IE-G
CORK,ORK,IE,IE-C
GALWAY,GWY,IE,IE-G
DONEGAL,CFN,IE,IE-DL
DUBLIN,DUB,IE,IE-D
INISHMORE AERODROME,IOR,IE,IE-G
INISHEER AERODROME,INQ,IE,IE-G
KILKENNY,KKY,IE,IE-KK
IRELAND WEST KNOCK,NOC,IE,IE-MO
KERRY,KIR,IE,IE-KY
LETTERKENNY AIRFIELD,LTR,IE,IE-DL
INISHMAAN AERODROME,IIA,IE,IE-G
SHANNON,SNN,IE,IE-CE
SLIGO,SXL,IE,IE-SO
WATERFORD,WAT,IE,IE-WD
EJIN BANNER-TAOLAI,EJN,CN,CN-15
ENEJIT,EJT,MH,MH-MIL
AARHUS,AAR,DK,DK-82
BILLUND,BLL,DK,DK-83
COPENHAGEN KASTRUP,CPH,DK,DK-84
ESBJERG,EBJ,DK,DK-83
KARUP,KRP,DK,DK-82
LÆSØ,BYR,DK,DK-81
LOLLAND FALSTER MARIBO,MRW,DK,DK-85
ODENSE,ODE,DK,DK-83
COPENHAGEN ROSKILDE,RKE,DK,DK-85
BORNHOLM,RNN,DK,DK-84
SØNDERBORG,SGD,DK,DK-83
SINDAL,CNL,DK,DK-81
SKRYDSTRUP AIR BASE,SKS,DK,DK-83
SKIVE,SQW,DK,DK-82
THISTED,TED,DK,DK-81
VÁGAR,FAE,FO,FO-U-A
STAUNING,STA,DK,DK-82
AALBORG,AAL,DK,DK-81
LUXEMBOURG-FINDEL INTERNATIONAL,LUX,LU,LU-L
ÅLESUND- VIGRA,AES,NO,NO-15
ANDØYA- ANDENES,ANX,NO,NO-18
ALTA,ALF,NO,NO-54
FØRDE- BRINGELAND,FDE,NO,NO-46
BRØNNØYSUND- BRØNNØY,BNN,NO,NO-18
BODØ,BOO,NO,NO-18
BERGEN- FLESLAND,BGO,NO,NO-46
BÅTSFJORD,BJF,NO,NO-54
BERLEVÅG,BVG,NO,NO-54
KRISTIANSAND- KJEVIK,KRS,NO,NO-42
GEILO DAGALI,DLD,NO,NO-30
BARDUFOSS,BDU,NO,NO-54
HARSTAD/NARVIK- EVENES,EVE,NO,NO-18
FAGERNES- LEIRIN,VDB,NO,NO-34
FLORØ,FRO,NO,NO-46
OSLO- GARDERMOEN,OSL,NO,NO-30
HAMAR LUFTHAVN- STAVSBERG,HMR,NO,NO-34
HAUGESUND- KARMØY,HAU,NO,NO-11
HAMMERFEST,HFT,NO,NO-54
HASVIK,HAA,NO,NO-54
HONNINGSVÅG- VALAN,HVG,NO,NO-54
KRISTIANSUND- KVERNBERGET,KSU,NO,NO-15
GOL,GLL,NO,NO-30
KIRKENES- HØYBUKTMOEN,KKN,NO,NO-54
LISTA,FAN,NO,NO-42
LEKNES,LKN,NO,NO-18
MEHAMN,MEH,NO,NO-54
MOLDE- ÅRØ,MOL,NO,NO-15
MOSJØEN- KJÆRSTAD,MJF,NO,NO-18
LAKSELV- BANAK,LKL,NO,NO-54
NAMSOS,OSY,NO,NO-50
NOTODDEN,NTB,NO,NO-38
ØRLAND,OLA,NO,NO-50
ØRSTA-VOLDA- HOVDEN,HOV,NO,NO-15
MO I RANA- RØSSVOLL,MQN,NO,NO-18
RØRVIK- RYUM,RVK,NO,NO-50
RØROS,RRS,NO,NO-50
RØST,RET,NO,NO-18
MOSS- RYGGE,RYG,NO,NO-30
SVALBARD- LONGYEAR,LYR,NO,NO-21
SANDANE- ANDA,SDN,NO,NO-46
SOGNDAL- HAUKÅSEN,SOG,NO,NO-46
SVOLVÆR- HELLE,SVJ,NO,NO-18
STOKMARKNES- SKAGEN,SKN,NO,NO-18
SKIEN,SKE,NO,NO-38
STORD- SØRSTOKKEN,SRP,NO,NO-46
SØRKJOSEN,SOJ,NO,NO-54
VARDØ- SVARTNES,VAW,NO,NO-54
SANDNESSJØEN- STOKKA,SSJ,NO,NO-18
TROMSØ- LANGNES,TOS,NO,NO-54
SANDEFJORD- TORP,TRF,NO,NO-38
TRONDHEIM- VÆRNES,TRD,NO,NO-50
VADSØ,VDS,NO,NO-54
YAN'AN NANNIWAN,ENY,CN,CN-61
STAVANGER- SOLA,SVG,NO,NO-11
BYDGOSZCZ IGNACY JAN PADEREWSKI,BZG,PL,PL-KP
CZESTOCHOWA-RUDNIKI,CZW,PL,PL-SL
GDANSK LECH WALESA,GDN,PL,PL-PM
KRAKÓW JOHN PAUL II INTERNATIONAL,KRK,PL,PL-MA
KATOWICE INTERNATIONAL,KTW,PL,PL-SL
LÓDZ WLADYSLAW REYMONT,LCJ,PL,PL-LD
MODLIN,WMI,PL,PL-MZ
POZNAN-LAWICA,POZ,PL,PL-WP
RADOM,RDO,PL,PL-MZ
RZESZÓW-JASIONKA,RZE,PL,PL-PK
SZCZECIN-GOLENIÓW "SOLIDARNOSC",SZZ,PL,PL-ZP
OLSZTYN-MAZURY,SZY,PL,PL-WN
WARSAW CHOPIN,WAW,PL,PL-MZ
COPERNICUS WROCLAW,WRO,PL,PL-DS
ZIELONA GÓRA-BABIMOST,IEG,PL,PL-LB
ERDENET,ERT,MN,MN-035
RONNEBY,RNB,SE,SE-K
GOTHENBURG-LANDVETTER,GOT,SE,SE-Q
JÖNKÖPING,JKG,SE,SE-F
LIDKÖPING-HOVBY,LDK,SE,SE-Q
GOTHENBURG CITY,GSE,SE,SE-Q
SKÖVDE,KVB,SE,SE-Q
TROLLHÄTTAN-VÄNERSBORG,THN,SE,SE-Q
KARLSKOGA,KSK,SE,SE-T
MORA,MXX,SE,SE-W
STOCKHOLM SKAVSTA,NYO,SE,SE-D
SCANDINAVIAN MOUNTAINS,SCR,SE,SE-W
KRISTIANSTAD,KID,SE,SE-M
OSKARSHAMN,OSK,SE,SE-H
KALMAR,KLR,SE,SE-H
MALMÖ STURUP,MMX,SE,SE-M
HALMSTAD,HAD,SE,SE-N
VÄXJÖ KRONOBERG,VXO,SE,SE-G
SVEG,EVG,SE,SE-Z
GÄLLIVARE,GEV,SE,SE-BD
KRAMFORS-SOLLEFTEÅ HÖGA KUSTEN,KRF,SE,SE-Y
LYCKSELE,LYC,SE,SE-AC
SUNDSVALL-HÄRNÖSAND,SDL,SE,SE-Y
ÖRNSKÖLDSVIK,OER,SE,SE-Y
KIRUNA,KRN,SE,SE-BD
SKELLEFTEÅ,SFT,SE,SE-AC
UMEÅ,UME,SE,SE-AC
VILHELMINA SOUTH LAPLAND,VHM,SE,SE-AC
ARVIDSJAUR,AJR,SE,SE-BD
SÖDERHAMN,SOO,SE,SE-X
ÅRE ÖSTERSUND,OSD,SE,SE-Z
ÖREBRO,ORB,SE,SE-T
HAGFORS,HFS,SE,SE-S
KARLSTAD,KSD,SE,SE-S
STOCKHOLM VÄSTERÅS,VST,SE,SE-U
LULEÅ,LLA,SE,SE-BD
STOCKHOLM-ARLANDA,ARN,SE,SE-AB
STOCKHOLM-BROMMA,BMA,SE,SE-AB
DALA,BLE,SE,SE-W
HULTSFRED,HLF,SE,SE-H
GÄVLE SANDVIKEN,GVX,SE,SE-X
LINKÖPING CITY,LPI,SE,SE-E
NORRKÖPING,NRK,SE,SE-E
TORSBY,TYF,SE,SE-S
ESKILSTUNA,EKT,SE,SE-D
VISBY,VBY,SE,SE-I
VÄSTERVIK,VVK,SE,SE-H
ÄNGELHOLM-HELSINGBORG,AGH,SE,SE-M
STORUMAN,SQO,SE,SE-AC
IDRE,IDB,SE,SE-W
PAJALA,PJA,SE,SE-BD
HEMAVAN,HMV,SE,SE-AC
GELADI,GLC,ET,ET-SO
SHIRE INDA SELASSIE,SHC,ET,ET-TI
SPANGDAHLEM AIR BASE,SPM,DE,DE-RP
RAMSTEIN AIR BASE,RMS,DE,DE-RP
FRITZLAR ARMY AIRFIELD,FRZ,DE,DE-HE
FLUGPLATZ KITZINGEN,KZG,DE,DE-BY
NORDHOLZ NAVAL AIRBASE,FCN,DE,DE-NI
GEILENKIRCHEN AIR BASE,GKE,DE,DE-NW
ROSTOCK-LAAGE,RLG,DE,DE-MV
